gs,,,,,,,,,,,,
,,,,,,,,,,,,
Station,Date(NZST),Time(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Christchurch Aero,20170701,900,12.9,24,6.6,24,4.8,24,-,-,-,D
Christchurch Aero,20170702,900,10.3,24,6.7,24,3.1,24,-,-,-,D
Christchurch Aero,20170703,900,9.7,24,4.7,24,3.2,24,-,-,-,D
Christchurch Aero,20170704,900,12.4,24,1.2,24,-2.9,24,-,-,-,D
Christchurch Aero,20170705,900,11.3,24,2.7,24,-1.6,24,-,-,-,D
Christchurch Aero,20170706,900,9.8,24,1.9,24,-1.5,24,-,-,-,D
Christchurch Aero,20170707,900,9.1,24,-0.9,24,-4.4,24,-,-,-,D
Christchurch Aero,20170708,900,8,24,-0.8,24,-3.2,24,-,-,-,D
Christchurch Aero,20170709,900,9.9,24,0.3,24,0.1,24,-,-,-,D
Christchurch Aero,20170710,900,9.8,24,3.5,24,0.7,24,-,-,-,D
Christchurch Aero,20170711,900,10.8,24,-3.9,24,-7.5,24,-,-,-,D
Christchurch Aero,20170712,900,10.4,24,-0.6,24,-2.1,24,-,-,-,D
Christchurch Aero,20170713,900,3.9,24,0.8,24,-0.3,24,-,-,-,D
Christchurch Aero,20170714,900,7.8,24,3.2,24,2.3,24,-,-,-,D
Christchurch Aero,20170715,900,7.9,24,-2.2,24,-5,24,-,-,-,D
Christchurch Aero,20170716,900,9,24,-2.6,24,-7.1,24,-,-,-,D
Christchurch Aero,20170717,900,11.1,24,0.8,24,-0.1,24,-,-,-,D
Christchurch Aero,20170718,900,10.1,24,5.1,24,2.4,24,-,-,-,D
Christchurch Aero,20170719,900,10.9,24,-1.5,24,-4.2,24,-,-,-,D
Christchurch Aero,20170720,900,12.2,24,0.6,24,-3.1,24,-,-,-,D
Christchurch Aero,20170721,900,14.7,24,6.6,24,4.4,24,-,-,-,D
Christchurch Aero,20170722,900,11.2,24,5.9,24,5.4,24,-,-,-,D
Christchurch Aero,20170723,900,7,24,4.4,24,2.8,24,-,-,-,D
Christchurch Aero,20170724,900,9.4,24,-0.4,24,-3.4,24,-,-,-,D
Christchurch Aero,20170725,900,12.2,24,-1.3,24,-5.2,24,-,-,-,D
Christchurch Aero,20170726,900,13.6,24,-2.5,24,-5.7,24,-,-,-,D
Christchurch Aero,20170727,900,13.8,24,1.1,24,-0.1,24,-,-,-,D
Christchurch Aero,20170728,900,8.9,24,2.7,24,0.8,24,-,-,-,D
Christchurch Aero,20170729,900,6.8,24,-0.6,24,-4.4,24,-,-,-,D
Christchurch Aero,20170730,900,8.5,24,-5.6,24,-8.8,24,-,-,-,D
Christchurch Aero,20170731,900,8.7,24,-3.9,24,-7.5,24,-,-,-,D
Christchurch Aero,20170801,900,11.7,24,-0.9,24,-1.2,24,-,-,-,D
Christchurch Aero,20170802,900,12.7,24,5.3,24,2.2,24,-,-,-,D
Christchurch Aero,20170803,900,8.5,24,2.6,24,-1.4,24,-,-,-,D
Christchurch Aero,20170804,900,8.8,24,-2.9,24,-8,24,-,-,-,D
Christchurch Aero,20170805,900,8.7,24,-0.9,24,-6.4,24,-,-,-,D
Christchurch Aero,20170806,900,11.1,24,3.8,24,3.4,24,-,-,-,D
Christchurch Aero,20170807,900,16.9,24,4.1,24,-1.3,24,-,-,-,D
Christchurch Aero,20170808,900,19.8,24,4.1,24,0.7,24,-,-,-,D
Christchurch Aero,20170809,900,12,24,6,24,2.2,24,-,-,-,D
Christchurch Aero,20170810,900,9.3,24,4.7,24,4.8,24,-,-,-,D
Christchurch Aero,20170811,900,13.6,24,0.2,24,-2.8,24,-,-,-,D
Christchurch Aero,20170812,900,15.1,24,3.9,24,-1,24,-,-,-,D
Christchurch Aero,20170813,900,18.2,24,5.3,24,-0.8,24,-,-,-,D
Christchurch Aero,20170814,900,16.5,24,5.6,24,4.9,24,-,-,-,D
Christchurch Aero,20170815,900,6.5,24,3.8,24,1.3,24,-,-,-,D
Christchurch Aero,20170816,900,10,24,-1.5,24,-3.9,24,-,-,-,D
Christchurch Aero,20170817,900,16.4,24,4.2,24,4.2,24,-,-,-,D
Christchurch Aero,20170818,900,19,24,4.7,24,-1.1,24,-,-,-,D
Christchurch Aero,20170819,900,17.7,24,-0.5,24,-3.8,24,-,-,-,D
Christchurch Aero,20170820,900,11.7,24,4.4,24,7,24,-,-,-,D
Christchurch Aero,20170821,900,10.4,24,5.8,24,4.3,24,-,-,-,D
Christchurch Aero,20170822,900,9.7,24,-2.8,24,-6.9,24,-,-,-,D
Christchurch Aero,20170823,900,12.9,24,-0.4,24,-5.6,24,-,-,-,D
Christchurch Aero,20170824,900,13,24,-1.3,24,-4.8,24,-,-,-,D
Christchurch Aero,20170825,900,18,24,-0.9,24,-4,24,-,-,-,D
Christchurch Aero,20170826,900,17,24,1.2,24,-2.1,24,-,-,-,D
Christchurch Aero,20170827,900,14.3,24,1.9,24,-1.2,24,-,-,-,D
Christchurch Aero,20170828,900,17.9,24,5.7,24,0.1,24,-,-,-,D
Christchurch Aero,20170829,900,15.9,24,2.3,24,-1.4,24,-,-,-,D
Christchurch Aero,20170830,900,18.8,24,6.4,24,3.5,24,-,-,-,D
Christchurch Aero,20170831,900,11.4,24,8.1,24,7.5,24,-,-,-,D
Christchurch Aero,20170901,900,10.2,24,6.3,24,5.3,24,-,-,-,D
Christchurch Aero,20170902,900,8.7,24,5.3,24,3.3,24,-,-,-,D
Christchurch Aero,20170903,900,10,24,5.3,24,3.4,24,-,-,-,D
Christchurch Aero,20170904,900,9.2,24,3.9,24,0.4,24,-,-,-,D
Christchurch Aero,20170905,900,9.7,24,2.6,24,0.3,24,-,-,-,D
Christchurch Aero,20170906,900,15.9,24,7.9,24,4,24,-,-,-,D
Christchurch Aero,20170907,900,16.7,24,5.6,24,-1.1,24,-,-,-,D
Christchurch Aero,20170908,900,15.9,24,-1.4,24,-4.9,24,-,-,-,D
Christchurch Aero,20170909,900,16.7,24,2.5,24,-1.6,24,-,-,-,D
Christchurch Aero,20170910,900,14.1,24,-0.6,24,-5.2,24,-,-,-,D
Christchurch Aero,20170911,900,12.9,24,2.8,24,-0.8,24,-,-,-,D
Christchurch Aero,20170912,900,13.1,24,3.9,24,-1,24,-,-,-,D
Christchurch Aero,20170913,900,14,24,0,24,-2.5,24,-,-,-,D
Christchurch Aero,20170914,900,14,24,2.8,24,0,24,-,-,-,D
Christchurch Aero,20170915,900,20.2,24,9.4,24,4.1,24,-,-,-,D
Christchurch Aero,20170916,900,23.6,24,9.3,24,6.8,24,-,-,-,D
Christchurch Aero,20170917,900,13.8,24,2,24,-2.6,24,-,-,-,D
Christchurch Aero,20170918,900,17.4,24,8.2,24,6.6,24,-,-,-,D
Christchurch Aero,20170919,900,10.8,24,8.1,24,8.6,24,-,-,-,D
Christchurch Aero,20170920,900,13,24,4.4,24,0.5,24,-,-,-,D
Christchurch Aero,20170921,900,13.1,24,9.2,24,8.9,24,-,-,-,D
Christchurch Aero,20170922,900,13,24,9.4,24,8.6,24,-,-,-,D
Christchurch Aero,20170923,900,14.2,24,8.8,24,6.8,24,-,-,-,D
Christchurch Aero,20170924,800,18.6,24,4.3,24,1.5,24,-,-,-,D
Christchurch Aero,20170925,800,21.3,24,9.7,24,6.9,24,-,-,-,D
Christchurch Aero,20170926,800,23.9,24,9.6,24,5,24,-,-,-,D
Christchurch Aero,20170927,800,17.4,24,8.3,24,5.8,24,-,-,-,D
Christchurch Aero,20170928,800,15.2,24,8,24,6.1,24,-,-,-,D
Christchurch Aero,20170929,800,14.3,24,5.8,24,2.4,24,-,-,-,D
Christchurch Aero,20170930,800,21.6,24,9.8,24,7.6,24,-,-,-,D
Christchurch Aero,20171001,800,15.2,24,5.8,24,0.6,24,-,-,-,D
Christchurch Aero,20171002,800,14.4,24,3.4,24,-1.6,24,-,-,-,D
Christchurch Aero,20171003,800,16.6,24,4.3,24,-0.8,24,-,-,-,D
Christchurch Aero,20171004,800,23.3,24,1.6,24,-1.7,24,-,-,-,D
Christchurch Aero,20171005,800,20.5,24,7.8,24,6.2,24,-,-,-,D
Christchurch Aero,20171006,800,12.8,24,3,24,-1.4,24,-,-,-,D
Christchurch Aero,20171007,800,16.5,24,8.4,24,8.4,24,-,-,-,D
Christchurch Aero,20171008,800,10.6,24,8.8,24,8.6,24,-,-,-,D
Christchurch Aero,20171009,800,12.1,24,10.4,24,10.7,24,-,-,-,D
Christchurch Aero,20171010,800,13.4,24,10.3,24,10.9,24,-,-,-,D
Christchurch Aero,20171011,800,15.2,24,7.8,24,6.9,24,-,-,-,D
Christchurch Aero,20171012,800,14.1,24,7.9,24,4.3,24,-,-,-,D
Christchurch Aero,20171013,800,15.9,24,9.1,24,7.1,24,-,-,-,D
Christchurch Aero,20171014,800,23.8,24,3,24,-0.7,24,-,-,-,D
Christchurch Aero,20171015,800,18.8,24,6.8,24,5.4,24,-,-,-,D
Christchurch Aero,20171016,800,16.5,24,9,24,7.2,24,-,-,-,D
Christchurch Aero,20171017,800,11,24,2.7,24,-1.2,24,-,-,-,D
Christchurch Aero,20171018,800,19.2,24,7.7,24,7.5,24,-,-,-,D
Christchurch Aero,20171019,800,13.3,24,3.5,24,-0.2,24,-,-,-,D
Christchurch Aero,20171020,800,21.6,24,4.7,24,2,24,-,-,-,D
Christchurch Aero,20171021,800,15.5,24,9.8,24,8,24,-,-,-,D
Christchurch Aero,20171022,800,21.3,24,4.8,24,0.6,24,-,-,-,D
Christchurch Aero,20171023,800,20.9,24,7.5,24,4.6,24,-,-,-,D
Christchurch Aero,20171024,800,18.8,24,8.1,24,5.2,24,-,-,-,D
Christchurch Aero,20171025,800,17.6,24,4.1,24,0.6,24,-,-,-,D
Christchurch Aero,20171026,800,19.8,24,5.4,24,2.5,24,-,-,-,D
Christchurch Aero,20171027,800,15.4,24,9.2,24,8.4,24,-,-,-,D
Christchurch Aero,20171028,800,15.9,24,5.3,24,1.1,24,-,-,-,D
Christchurch Aero,20171029,800,17.6,24,12,24,10.2,24,-,-,-,D
Christchurch Aero,20171030,800,19.3,24,6.6,24,3.7,24,-,-,-,D
Christchurch Aero,20171031,800,25.5,24,7.3,24,4.8,24,-,-,-,D
Christchurch Aero,20171101,800,23.3,24,14,24,13,24,-,-,-,D
Christchurch Aero,20171102,800,18.8,24,8.6,24,5.3,24,-,-,-,D
Christchurch Aero,20171103,800,22.9,24,12.6,24,8.8,24,-,-,-,D
Christchurch Aero,20171104,800,26.4,24,16.5,24,11.2,24,-,-,-,D
Christchurch Aero,20171105,800,25.2,24,10.7,24,6,24,-,-,-,D
Christchurch Aero,20171106,800,20.6,24,3.5,24,-1.4,24,-,-,-,D
Christchurch Aero,20171107,800,17.2,24,-1.1,24,-4.5,24,-,-,-,D
Christchurch Aero,20171108,800,20.9,24,6.8,24,7.3,24,-,-,-,D
Christchurch Aero,20171109,800,15.5,24,3,24,-3,24,-,-,-,D
Christchurch Aero,20171110,800,20.7,24,8.1,24,5,24,-,-,-,D
Christchurch Aero,20171111,800,15.7,24,3.9,24,0,24,-,-,-,D
Christchurch Aero,20171112,800,16.5,24,7.2,24,3.4,24,-,-,-,D
Christchurch Aero,20171113,800,15.5,24,7.9,24,7,24,-,-,-,D
Christchurch Aero,20171114,800,15.8,24,6.9,24,4.5,24,-,-,-,D
Christchurch Aero,20171115,800,17.3,24,1.4,24,-2.4,24,-,-,-,D
Christchurch Aero,20171116,800,17.8,24,6.4,24,0.4,24,-,-,-,D
Christchurch Aero,20171117,800,19.7,24,9.3,24,5.5,24,-,-,-,D
Christchurch Aero,20171118,800,19.7,24,10.1,24,10.2,24,-,-,-,D
Christchurch Aero,20171119,800,17.5,24,3.2,24,-1.3,24,-,-,-,D
Christchurch Aero,20171120,800,21.2,24,6.1,24,2.3,24,-,-,-,D
Christchurch Aero,20171121,800,19.5,24,12,24,9.7,24,-,-,-,D
Christchurch Aero,20171122,800,19.3,24,7,24,2.7,24,-,-,-,D
Christchurch Aero,20171123,800,21.5,24,8.1,24,4.4,24,-,-,-,D
Christchurch Aero,20171124,800,21.1,24,13.5,24,14,24,-,-,-,D
Christchurch Aero,20171125,800,19.7,24,10.2,24,7,24,-,-,-,D
Christchurch Aero,20171126,800,21.3,24,13.2,24,13.5,24,-,-,-,D
Christchurch Aero,20171127,800,19.1,24,13.9,24,12.6,24,-,-,-,D
Christchurch Aero,20171128,800,23.1,24,14.7,24,13.2,24,-,-,-,D
Christchurch Aero,20171129,800,20.5,24,14,24,11.8,24,-,-,-,D
Christchurch Aero,20171130,800,20.3,24,14.4,24,14.3,24,-,-,-,D
Christchurch Aero,20171201,800,23.1,24,15.1,24,13.7,24,-,-,-,D
Christchurch Aero,20171202,800,24,24,9.1,24,5.6,24,-,-,-,D
Christchurch Aero,20171203,800,30.4,24,12.2,24,8.1,24,-,-,-,D
Christchurch Aero,20171204,800,28,24,13.4,24,10,24,-,-,-,D
Christchurch Aero,20171205,800,26.7,24,10.1,24,6.1,24,-,-,-,D
Christchurch Aero,20171206,800,30.7,24,11.2,24,8,24,-,-,-,D
Christchurch Aero,20171207,800,22.5,24,16.4,24,16.4,24,-,-,-,D
Christchurch Aero,20171208,800,22.6,24,14.4,24,8.6,24,-,-,-,D
Christchurch Aero,20171209,800,32.5,24,15.2,24,10.6,24,-,-,-,D
Christchurch Aero,20171210,800,31,24,19,24,16.2,24,-,-,-,D
Christchurch Aero,20171211,800,30.5,24,8.2,24,4.2,24,-,-,-,D
Christchurch Aero,20171212,800,28.3,24,13.9,24,12.8,24,-,-,-,D
Christchurch Aero,20171213,800,18.2,24,11.8,24,10.2,24,-,-,-,D
Christchurch Aero,20171214,800,18.9,24,7.8,24,5,24,-,-,-,D
Christchurch Aero,20171215,800,20.8,24,10.8,24,7,24,-,-,-,D
Christchurch Aero,20171216,800,25,24,14.2,24,12.8,24,-,-,-,D
Christchurch Aero,20171217,800,25.8,24,15.9,24,14.1,24,-,-,-,D
Christchurch Aero,20171218,800,27.7,24,12.6,24,10.9,24,-,-,-,D
Christchurch Aero,20171219,800,19.4,24,11.8,24,11,24,-,-,-,D
Christchurch Aero,20171220,800,24.9,24,11,24,9.1,24,-,-,-,D
Christchurch Aero,20171221,800,18.9,24,9.6,24,8.4,24,-,-,-,D
Christchurch Aero,20171222,800,19.7,24,12.9,24,12.5,24,-,-,-,D
Christchurch Aero,20171223,800,20.5,24,13.7,24,11.9,24,-,-,-,D
Christchurch Aero,20171224,800,21.3,24,15.6,24,14.6,24,-,-,-,D
Christchurch Aero,20171225,800,25.4,24,9.1,24,4.8,24,-,-,-,D
Christchurch Aero,20171226,800,30.9,24,11.7,24,10.8,24,-,-,-,D
Christchurch Aero,20171227,800,14.5,24,9,24,8.3,24,-,-,-,D
Christchurch Aero,20171228,800,16.6,24,8.8,24,5.5,24,-,-,-,D
Christchurch Aero,20171229,800,18.7,24,5.4,24,1.9,24,-,-,-,D
Christchurch Aero,20171230,800,20,24,11.5,24,9.3,24,-,-,-,D
Christchurch Aero,20171231,800,20.8,24,13.8,24,10.7,24,-,-,-,D
Christchurch Aero,20180101,800,28.8,24,13.1,24,12.9,24,-,-,-,D
Christchurch Aero,20180102,800,22.4,24,15.2,24,15.5,24,-,-,-,D
Christchurch Aero,20180103,800,25.1,24,16.2,24,16.7,24,-,-,-,D
Christchurch Aero,20180104,800,24.8,24,15.5,24,13.2,24,-,-,-,D
Christchurch Aero,20180105,800,24.4,24,15.4,24,15.3,24,-,-,-,D
Christchurch Aero,20180106,800,17.3,24,13.5,24,12.2,24,-,-,-,D
